#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Has patch,Affected Flow version,Description
6004,TYPO3.Fluid,Task,Task #26658: Make Form ViewHelpers consistent,Closed,Should have,"Checkbox viewHelper throws exception in ""newAction"" method.",Nathan L,Bastian Waidelich,2012-01-18 15:30,ViewHelpers,"",2010-01-13,"","",0,2010-01-13 10:45,"","",26200,"",No,"","I'm not sure if this is a bug or just the way it is supposed to work.  Maybe this should be filed under Fluid or not, I'm not sure. I made changes to my extBase model in order to make it work.

Here is an example scenario:

<pre>
class Myobj {
/**
 * iampretty
 * @param boolean
 */
 protected $iampretty;
    
 // standard getter/setter
}

/**
 * Show a form to create a new object
 *
 * @param Tx_Myext_Domain_Model_Myobj $myobj A new object that is yet to be created
 * @return string A form for providing the objects properties.
 */
function newAction($myobj = NULL) {
    $this->view->assign('myobj',$myobj);
}

<f:form method=""post"" controller=""Example"" action=""create""  name=""myobj"" object=""{myobj}"">

    <f:form.checkbox property=""iampretty"" value=""1"" /> Am I pretty?

<f:/form>
</pre>

This throws an exception: *#1243325768: No value found for key ""Tx_Fluid_ViewHelpers_FormViewHelper->formObject""*

However, if I modify my newAction to look like this, then the error isn't thrown:

<pre>
function newAction($myobj = NULL) {
    if ($myobj == NULL) {
        $myobj = t3lib_div::makeInstance('Tx_Myext_Domain_Model_Myobj');
    }
    $this->view->assign('myobj',$myobj);
}
</pre>


But there is a different issue!  Here is how the checkbox renders:

*Checkbox viewhelpers can only be bound to properties of type boolean or array. Property ""iampretty"" is of type ""NULL"".*

I can make this go away by adding this constructor to my domain object:

<pre>
public function __construct() {	
    $this->iampretty = false;
}
</pre>

Now everything works!  I'm just not sure if it this is how it is supposed to work.  

"
6087,TYPO3.Fluid,Bug,"",Closed,Won't have this time,"#1251730702: The value must be of type ""Tx_Sffluid_Domain_Model_Customer"", but was of type ""array"". ",Stefan Froemken,"",2010-10-20 05:44,Core,"",2010-01-18,"","",100,2010-01-18 15:14,"","",2597850,"","","","Hello...I just try to learn Fluid, but when I want to save some values following error appears:

#1251730702: The value must be of type ""Tx_Sffluid_Domain_Model_Customer"", but was of type ""array"". 

edit.html:
<p class=""bodytext"">Editieren Sie den Kunden:</p>
<f:form method=""post"" action=""update"" name=""customer"" object=""{customer}"">
	<label for=""firstname"">Vorname</label><br />
	<f:form.textbox property=""firstname"" /><br />
	<label for=""lastname"">Nachname</label><br />
	<f:form.textbox property=""lastname"" /><br />
	<f:form.submit class=""submit"" value=""Submit""/>
</f:form>

CustomerController.php:
 <?php
 class Tx_Sffluid_Controller_CustomerController extends Tx_Extbase_MVC_Controller_ActionController {
  protected $customerRepository;

  public function initializeAction() {
   $this->customerRepository= t3lib_div::makeInstance('Tx_Sffluid_Domain_Repository_CustomerRepository');
  }
  public function indexAction() {
   $this->view->assign('zahl', 12);
   $this->view->assign('customers', $this->customerRepository->findAll());
  }
  public function editAction(Tx_Sffluid_Domain_Model_Customer $customer) {
   $this->view->assign('customer', $customer);
  }
  public function updateAction(Tx_Sffluid_Domain_Model_Customer $customer) {
   $this->customerRepository->update($customer);
   $this->flashMessages->add('Der Kunde wurde aktualisiert.');
   $this->redirect('index');
  }
 }

I can't find an error. The code is nearly the same as in blog_example. What's wrong here?!

Stefan Frömken

Fluid: 1.0.2
TYPO3: 4.3.1"
6149,TYPO3.Fluid,Feature,"",Resolved,Should have,for: add iteration informations,Stefan Froemken,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2010-01-21,"","",100,2010-01-21 09:04,"","",2597800,"","","","This is a feature request. I first saw this functionality in smarty and I think you should insert this in fluid, too. You're right, when you told me to program this viewHelper on my own. But I think this should be in Core.

Here is my first try changing forViewHelper.php:

	/**
	 * Iterates through elements of $each and renders child nodes
	 *
	 * @param array $each The array or SplObjectStorage to iterated over
	 * @param string $as The name of the iteration variable
	 * @param string $key The name of the variable to store the current array key
	 * @param boolean $reverse If enabled, the iterator will start with the last element and proceed reversely
	 * @param integer $iterate If >= 0, you got a new element {iterate} which counts through the Arrays
	 * @param integer $step If iterate is set, then you can set your prefered stepping 2 = 1,3,5,7,9
	 * @return string Rendered string
	 * @author Sebastian Kurfürst <sebastian@typo3.org>
	 * @author Bastian Waidelich <bastian@typo3.org>
	 * @author Robert Lemke <robert@typo3.org>
	 * @api
	 */
	public function render($each, $as, $key = '', $reverse = FALSE, $iterate = FALSE, $step = 1) {
		$output = '';
		if ($each === NULL) {
			return '';
		}
		if (is_object($each)) {
			if (!$each instanceof Traversable) {
				throw new Tx_Fluid_Core_ViewHelper_Exception('ForViewHelper only supports arrays and objects implementing Traversable interface' , 1248728393);
			}
			$each = $this->convertToArray($each);
		}

		if ($reverse === TRUE) {
			$each = array_reverse($each);
		}

		$output = '';
		foreach ($each as $keyValue => $singleElement) {
			$this->templateVariableContainer->add($as, $singleElement);
			if ($key !== '') {
				$this->templateVariableContainer->add($key, $keyValue);
			}
			if ($iterate !== FALSE) {
				$this->templateVariableContainer->add('iterate', $iterate);
				($step != 1)? $iterate = $iterate + $step: $iterate++;
			}
			$output .= $this->renderChildren();
			$this->templateVariableContainer->remove($as);
			if ($key !== '') {
				$this->templateVariableContainer->remove($key);
			}
			if ($iterate !== FALSE) {
				$this->templateVariableContainer->remove('iterate');
			}
		}
		return $output;
	}

Now you can do something like this:
<f:for each=""{customer.car}"" as=""car"" iterate=""2"" step=""2"">
<tr>
<td>Auto {iterate}</td>
<td>{car.type}</td>
</tr>
</f:for>

and get:
Auto 1: BMW
Auto 3: Audi
Auto 5: VW

or remove step to get:
Auto 1: BMW
Auto 2: Audi
Auto 3: VW
"
6202,TYPO3.Fluid,Bug,"",Rejected,Should have,ActionViewHelper breaks html on empty content,Georg Ortner,"",2010-10-20 05:44,ViewHelpers,"",2010-01-25,"",0.50,0,2010-01-25 08:11,"","",2597750,"","","","It's not really a bug, but to me it's not very well designed.

If we do something like:

<pre>
<f:link.action action=""index"">{blog.title}</f:link.action>
</pre>

And blog.title is empty we would get:

<pre>
<a href=""someUri"" otherAttributes="""" />
</pre>

Because right now if there is no content given to a ActionViewHelper it assumes that we don't need a closing tag. This ends up in a broken html.

Of course a link-tag without content doesn't make much sense but I think this can happen easily.

This decision is taken in Fluid/Core/ViewHelper/TagBuilder at line 222

<pre>
if ($this->hasContent() || $this->forceClosingTag) {
    $output .= '>' . $this->content . '</' . $this->tagName . '>';
} else {
    $output .= ' />';
}

</pre>
So far I think there are two possible solutions:

1) We add the following to ActionViewHelper, EmailViewHelper and ExternalViewHelper (and all featured TagBasedViewHelpers which do need the closing tag):

<pre>
$this->tag->forceClosingTag(true);
</pre>

2) We make forceClosingTag default true in TagBasedViewHelper and take care that every child of this class which doesn't need a closing tag sets it on false.


Personally I prefer second because I think the number of TagBasedViewHelpers which do need the closing tag is greater than the others.


Regards "
6287,TYPO3.Fluid,Bug,"",Closed,Should have,Fluid User Manual outdated / missing information,Michael Sauter,"",2011-05-06 04:22,"","",2010-01-30,"","",0,2010-01-30 09:23,"","",2597700,"","","","I wrote my first ViewHelper and noticed that the manual has some bugs (I guess it's just outdated).

It's mentioned several times that a ViewHelper must extend F3\Fluid\Core\AbstractViewHelper, but this resides in F3\Fluid\Core\ViewHelper\AbstractViewHelper now.

Also, example 2.6 (for loop) doesn't note that the ViewHelper must be of scope prototype, maybe that should be included in the source code? And of course this class should also extend F3\Fluid\Core\ViewHelper\AbstractViewHelper."
6289,TYPO3.Fluid,Feature,"",Resolved,Should have,{settings} not automatically available in partials,Franz Koch,Sebastian Kurfuerst,2010-10-20 05:44,ViewHelpers,"",2010-01-30,"","",100,2010-01-30 15:12,"","",2597650,"","","","Hi, I just noticed that the {settings} array is not automatically available in partials, which it should in my eyes.
This is the v4 branch, not sure if it's also the case in v5."
6297,TYPO3.Fluid,Bug,"",Resolved,Must have,Not possible to create link to Typo3-Pages with additional piVars,Mathias Gisch,Sebastian Kurfuerst,2010-10-20 05:44,"","",2010-02-01,"","",100,2010-02-01 05:22,"","",2597600,"","","","If I want to create a link to a Typo3-Page and add addtional attributes for old-style pibase-Plugins the Viewhelper throws an exception:

#1237900520: The argument additionalAttributes was registered with type array, but is of type string in viewhelper Tx_Fluid_ViewHelpers_Link_PageViewHelper

Try the following:

<f:link.page pageUid=""{detailsPage}"" additionalAttributes=""{tx_ltpdb_test[argument]: 234}"">Test</f:link.page>"
6298,TYPO3.Fluid,Bug,"",Resolved,Should have,action gets converted to lowercase,Falk Kühnel,"",2010-10-20 05:44,"","",2010-02-01,"","",0,2010-02-01 08:18,"","",2597550,"","","","If i recall correctly, this was done to somehow get teh dispatcher to ignore cases for actions.

I am trying to use Fluid with an explicitly called action like this in 4.3:
$view->render('someName'); 
This makes Fluid look for a file called 'somename', which in my oppinion should not be.

TemplateView.php:
<pre>
protected function resolveTemplatePathAndFilename($actionName = NULL) {
...
   $actionName = ($actionName !== NULL ? $actionName : $this->controllerContext->getRequest()->getControllerActionName());
   $actionName = strtolower($actionName);
...
}
</pre>
This is not the right place to do this. this should be done somewhere, in getControllerActionName.
Partials dont get converted to lowercase names btw."
6338,TYPO3.Fluid,Bug,"",Closed,Could have,JSON is being parsed as string Array,Rens Admiraal,"",2013-07-17 06:07,"","",2010-02-04,"",10.00,0,2010-02-04 04:32,"","",2597500,"","","","We have a fluid template with some inline javascript. The JSON objects in it are being parsed as the literal string 'Array'.

It looks like fluid is parsing all array notations in the content instead of just parsing the arrays used in the viewhelper parameters. There is a workaround for this bug, just add a property to the json containing a viewhelper.

Not working:
 flashes.push({
 	id: 'sponsorMeter',
 	flashvars: {
 		amount:5000,
 		maxAmount:700,
 		link: ""<f:uri.action pageUid='{pages.sponsor}' absolute='true' />"",
 		type:'zip'
 	},
 	parameters: {
 		wmode:'transparent'
 	},
 	width: 150,
 	height: 260,
 	src:'/<f:uri.resource path=""Flash/sponsormeter.swf"" />'
 });

Working (parameters objects has changed):
 flashes.push({
 	id: 'sponsorMeter',
 	flashvars: {
 		amount:5000,
 		maxAmount:700,
 		link: ""<f:uri.action pageUid='{pages.sponsor}' absolute='true' />"",
 		type:'zip'
 	},
 	parameters: {
 		link: ""<f:uri.action pageUid='{pages.sponsor}' absolute='true' />"",
 		wmode:'transparent'
 	},
 	width: 150,
 	height: 260,
 	src:'/<f:uri.resource path=""Flash/sponsormeter.swf"" />'
 });"
6389,TYPO3.Fluid,Feature,"",Resolved,Should have,Option/Possibility to Disable Object Escaping,Marc Neuhaus,Robert Lemke,2010-10-20 05:44,Core,1.0.0 alpha 8,2010-02-07,"","",100,2010-02-06 19:51,"","",2604250,"","","","Currently the ObjectAccessor will always be escaped.
In my Opinion there should be a way to Disable this behavior for certain Objects/Properties

"
6392,TYPO3.Fluid,Bug,"",Closed,Should have,#1225136013 - This Exception should never be thrown,Falk Kühnel,"",2011-05-06 04:22,"","",2010-02-07,"","",0,2010-02-07 12:52,"","",2597450,"","","","#1225136013: This exception should never be thrown, as the array value has to be of some type (Value given: ""array ( 0 => '0:\'\'', 'ArrayPart' => '0:\'\'', 1 => '0:\'\'', 'Key' => '0', 2 => '0', 'DoubleQuotedString' => '', 3 => '', 'SingleQuotedString' => '', 4 => '', )""). Please post your template to the bugtracker at forge.typo3.org.

The bad boy causing this:
<f:format.printf arguments=""{0:''}"">This is what i want you to see: %s.</f:format.printf>
"
6514,TYPO3.Fluid,Bug,"",Resolved,Must have,HMAC error when rendering links inside forms,Christine Gerpheide,Sebastian Kurfuerst,2010-10-20 05:44,"","",2010-02-18,"","",100,2010-02-18 07:47,"","",2597400,"","","","When adding a link viewhelper inside of a form, an invalid HMAC exception is thrown on submit:
---
#1255082824: Request hash (HMAC) checking failed. The parameter __hmac was invalid or not set, and objects were modified.  
---

For example, this form throws the error:

<f:form method=""post""  action=""update"" name=""updateList"" object=""{updateList}"" arguments=""{mode : 'rename'}"">                   
<f:link.action action=""index"" >Subscriber Lists</f:link.action>
<f:form.textbox property=""title"" id=""listname"" class=""required"" />
<f:form.submit class=""submit"" value=""Save Changes""/>
</f:form>

If you remove the link.action element, the form will submit successfully, but you should be allowed to add such links inside a form."
6521,TYPO3.Fluid,Task,"",Resolved,Should have,"form ViewHelper: add ""objectName"" argument that overrules name attribute",Mam Violeng,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2010-02-19,"","",100,2010-02-18 21:27,"","",28550,"","","","The problem is related to XHTML Strict 1.0 validation which does not allow the attribute ""name"" for form tags, and when use id attribute instead of name then the function $this->request->getArgument('member') does not work anymore (""member"" is the name of the form)."
6560,TYPO3.Fluid,Task,Task #26658: Make Form ViewHelpers consistent,Closed,Must have,A reset button for formViewHelper [Made and attached],Soren Malling,Sebastian Kurfuerst,2011-09-30 06:27,ViewHelpers,"",2010-02-22,"","",90,2010-02-22 08:42,"","",28850,"",No,"","Hi,

I was lacking the function of creating a reset button in my fluid template so I made a viewHelper for this purpose and attached it here. Please give me feedback whether it's useful or not :)

Regards,

Søren"
